company_id,year,metric,zscore,peer_group
C0001,2023,net_margin,-1.0582039015253561,okved_year
C0001,2024,net_margin,0.7234347524401687,okved_year
C0001,2025,net_margin,0.1338764167883425,okved_year
C0002,2023,net_margin,-0.2794467620554854,okved_year
C0002,2024,net_margin,0.8217627977727131,okved_year
C0002,2025,net_margin,0.8595553272125334,okved_year
C0003,2023,net_margin,-0.3998631106235551,okved_year
C0003,2024,net_margin,-1.1630887847227438,okved_year
C0003,2025,net_margin,0,okved_year
C0004,2023,net_margin,-1.2603988260628376,okved_year
C0004,2024,net_margin,0.09058718858387609,okved_year
C0004,2025,net_margin,-0.011314704549843235,okved_year
C0005,2023,net_margin,0.10016678186364665,okved_year
C0005,2024,net_margin,0.10452806767754681,okved_year
C0005,2025,net_margin,0.10854352077450782,okved_year
C0006,2023,net_margin,-0.8568232569152189,okved_year
C0006,2024,net_margin,-0.5835145588165256,okved_year
C0006,2025,net_margin,0.40783500302871867,okved_year
C0007,2023,net_margin,0.2527826996689121,okved_year
C0007,2024,net_margin,0,okved_year
C0007,2025,net_margin,-0.22080287031067133,okved_year
C0008,2023,net_margin,0.5302359168991286,okved_year
C0008,2024,net_margin,0.2155037036783695,okved_year
C0008,2025,net_margin,0.5735419259262102,okved_year
C0009,2023,net_margin,0.11026432831392405,okved_year
C0009,2024,net_margin,1.2740166553978278,okved_year
C0009,2025,net_margin,-0.5165372348935794,okved_year
C0010,2023,net_margin,-0.0792565413330845,okved_year
C0010,2024,net_margin,0.263551668702195,okved_year
C0010,2025,net_margin,-1.8364912352036078,okved_year
C0011,2023,net_margin,-0.5904793438752198,okved_year
C0011,2024,net_margin,-0.7847023989908215,okved_year
C0011,2025,net_margin,-0.997059401237729,okved_year
C0012,2023,net_margin,0.810046778316825,okved_year
C0012,2024,net_margin,0,okved_year
C0012,2025,net_margin,-0.22546730939081033,okved_year
C0013,2023,net_margin,-0.7138083041034589,okved_year
C0013,2024,net_margin,1.4001258963079226,okved_year
C0013,2025,net_margin,0.006410421870330624,okved_year
C0014,2023,net_margin,-0.6959073172815974,okved_year
C0014,2024,net_margin,0.24485281838356407,okved_year
C0014,2025,net_margin,0.9058766392187074,okved_year
C0015,2023,net_margin,0.4787087711937209,okved_year
C0015,2024,net_margin,0.5935652131833824,okved_year
C0015,2025,net_margin,-0.3777961799006157,okved_year
C0016,2023,net_margin,-0.014766795364289539,okved_year
C0016,2024,net_margin,-0.0791261510313081,okved_year
C0016,2025,net_margin,-2.17758050909157,okved_year
C0017,2023,net_margin,-1.6671955403692367,okved_year
C0017,2024,net_margin,0.44859365712568006,okved_year
C0017,2025,net_margin,-0.6744907594765952,okved_year
C0018,2023,net_margin,1.573723534986693,okved_year
C0018,2024,net_margin,-1.8007677127121628,okved_year
C0018,2025,net_margin,0,okved_year
C0019,2023,net_margin,-3.234851792578524,okved_year
C0019,2024,net_margin,-2.4309140908495532,okved_year
C0019,2025,net_margin,-3.544054981837722,okved_year
C0020,2023,net_margin,0.6382970314013923,okved_year
C0020,2024,net_margin,1.169253147473801,okved_year
C0020,2025,net_margin,0.20651294007730897,okved_year
C0021,2023,net_margin,-0.4762881770315897,okved_year
