company_id,year,net_margin,gross_margin,operating_margin,rev_per_emp,profit_per_emp,payroll_per_emp,tax_to_profit,payout_ratio,financial_pressure_ratio,company_age
C0001,2023,0.12445523815379606,0.3261318379175879,0.15253676840014085,1338286.857142857,166556.80952380953,1134699.857142857,1.1959783205672996,0,0.9886824858599262,4
C0001,2024,0.22725346695675497,0.41297439121648805,0.31155104584428017,1444916.35,328362.25,969493.25,0.6273164774574422,0.320388534309288,0.767099853371832,5
C0001,2025,0.2070522082736302,0.3624949602465754,0.2595701925326802,1899776.4285714286,393352.90476190473,622850.4285714285,0.28604787340484633,0.45755265688353763,0.7086688857930802,6
C0002,2023,0.4774974738636363,0.7382643269596751,0.5640107300357025,1705312.359375,814282.34375,553559.234375,0.22790916157575103,0,0.38343942069171005,15
C0002,2024,0.5527687869502728,0.7556350106351738,0.625276597411761,2295755.393939394,1269021.9242424243,1281213.0303030303,0.22389399939564528,0,0.3362999650600887,16
C0002,2025,0.504011444917172,0.7868876521599558,0.6636385262051604,2847978.234375,1435413.625,1159123.09375,0.3535520336516243,0,0.38308314593768555,17
C0003,2023,0.2670285793271808,0.4807727899133275,0.33660033041108334,5142388.03,1373164.57,575514.27,0.6807185463574843,0,0.6779580140475653,3
C0003,2024,0.17492126729592564,0.36418950787553883,0.2122372585582588,5449183.287037037,953178.0462962963,1185369.2592592593,0.9379332952534449,0.38452772838512767,1.0524158418440521,4
C0003,2025,0.26070867496255246,0.46009497704128266,0.2905690956271684,5023277.136842106,1309611.9263157896,930137.8105263158,0.2850386462014424,0,0.5299730302348713,5
C0004,2023,0.1503222800838358,0.3339890516135257,0.18503257135917575,916264.0866666667,137734.90666666668,1122319.1533333333,1.1039673022128111,0.36988377093078706,1.1093451485410883,8
C0004,2024,0.18193257328612508,0.3921919207099413,0.24901652600548352,979798.5390070922,178257.2695035461,617907.4893617021,0.9263201345572928,0.32703155352601176,0.9464776629717885,9
C0004,2025,0.19588499276642296,0.35553614981319276,0.22527281566100033,946745.4520547945,185453.22602739726,1016508.8561643836,0.48134531282137344,0.20118620169742613,0.7424308753842743,10
C0005,2023,0.19214211619016233,0.37114299306169185,0.24135628318920607,3712895.4173228345,713403.5826771654,858912.6929133858,0.47737454216785224,0.2850372653528326,0.744398070670173,3
C0005,2024,0.19754524146649824,0.3482681152794479,0.25395144471351355,3442643.9758064514,680077.9354838709,1068825.9193548388,0.6726180718566601,0,0.6523398497255303,4
C0005,2025,0.20035193758920003,0.4409734129347924,0.2738309372185214,3728798.6991150444,747072.0442477876,1211189.8584070797,0.6003778574340148,0,0.651806513290476,5
C0006,2023,0.04222100416453288,0.18126181235694083,0.05799528853377578,6288700.5,265515.25,536780.75,3.7430712548525933,0,1.551914036413242,0
C0006,2024,0.04123784287845674,0.19671751515414168,0.051457531296063556,5440987.8,224374.6,1076469.6,3.6121789186476545,0,1.4956393197809739,1
C0006,2025,0.08088204866426664,0.2020558247068049,0.10837146131801918,6192356.75,500850.5,792666.75,1.7547336979797366,0,1.1660679422802918,2
C0007,2023,0.28853804875171657,0.4673298776378994,0.3714364693656306,7982795.833333333,2303340.3333333335,729216.1666666666,0.5790597452598191,0.4124771834991529,0.8173873686236446,4
C0007,2024,0.2753756042782904,0.43247494446275075,0.3486200090605156,8643658.2,2380252.6,659097.8,0.281785639053603,0,0.37332064689697,5
C0007,2025,0.22997472201752348,0.4333343966524711,0.32065471799340545,9053412.4,2082056,562748.4,0.2692397322646461,0.15183261161083084,0.48349652256920767,6
C0008,2023,0.5084732060912501,0.7909308990415507,0.6311490856643415,1583313017,805072246,721204,0.1594231941762901,0.46491451401990075,0.6033912825073716,4
C0008,2024,0.47111304567515744,0.6738250918636419,0.5385408481990303,1876536477,884060815,645472,0.28378898910930694,0,0.3991851029308411,5
C0008,2025,0.5322651316289841,0.8424291610259309,0.6840704278068677,2475772621,1317767440,1248028,0.2109986091324278,0,0.32129222040799715,6
C0009,2023,0.19840839721498504,0.3831098314973726,0.24519434226549386,1972165.3206106871,391294.1603053435,1298677.0839694657,0.7559176258621932,0,0.7514709102622642,5
C0009,2024,0.26663201915608675,0.4081199516291456,0.3088333320537141,2019377.0168067226,538430.5714285715,535388.3949579832,0.37527282451372285,0,0.4884504413816976,6
C0009,2025,0.15030289688051945,0.31609617060503103,0.2104632762947284,2152866.3157894737,323582.0438596491,1200108,0.7258523848977481,0,0.6793205057089365,7
C0010,2023,0.07391649919998697,0.21993967258775315,0.08631995564983864,2520667.2666666666,186318.9,564234.9,2.2706204970796486,0,1.3706305531281502,11
C0010,2024,0.09245548705220298,0.24602257536811825,0.11892529062334903,2544892.382352941,235289.26470588235,986791.1544117647,1.2010609281316427,0,0.9679679089539834,12
C0010,2025,0.00687894094452495,0.18732689209228223,0.00920094738207898,2933860.75,20181.854838709678,1151791.7258064516,10.858987033226109,0,1.3496421811374517,13
C0011,2023,0.053077824556031473,0.15798337276406005,0.07461762685937595,5140129.402061855,272826.88659793814,1147853.3505154639,2.1031784136521297,0.28923650388479416,1.3314687582793165,11
C0011,2024,0.029073071252139145,0.21017781228067822,0.03922579901947404,5337019.75308642,155163.55555555556,1161662.037037037,5.180807141934182,0.3429920383493387,1.5774539510827994,12
C0011,2025,0.03455787788966559,0.16645963051699944,0.04275463270079738,5749997.811111111,198707.72222222222,1255637.9666666666,2.0370797533731144,0,1.166061408294174,13
C0012,2023,0.11895069273357405,0.2385570818607665,0.14077302470500683,3529463.638157895,419832.1447368421,893145.1162280702,1.3456624514168565,0.4427138220622822,1.3016283202844556,5
C0012,2024,0.08079392640744257,0.28606572140282044,0.11348354089297401,3040241.506329114,245633.04852320676,810359.2974683545,1.9972619099714495,0.38097398640119284,1.274983925764829,6
C0012,2025,0.06277982855177151,0.225374974447575,0.07074223705407563,4382276.194860814,275118.5481798715,1178158.4239828694,2.698668696154514,0.15957079105988198,1.482296440319428,7
C0013,2023,0.19626166948170234,0.3923428654003089,0.23076574026956836,10008852.833333334,1964354.1666666667,1222079.3333333333,0.7062005536170709,0,0.7650890362597963,0
C0013,2024,0.336240550412716,0.47403054203237877,0.3769255266543262,10266208,3451915.4285714286,1229893.142857143,0.3579488870113024,0.49958209537330167,0.8131157609348327,1
C0013,2025,0.23989532398452013,0.4068953966652592,0.31780361956831016,8888187,2132234.5,1190556.625,0.3844511473761446,0,0.44561774632740847,2
C0014,2023,0.2155861603086556,0.3859062552634355,0.304758218296105,8496114.333333334,1831644.6666666667,843374.3333333334,0.4582242480073464,0,0.46626568162966037,0
C0014,2024,0.26291508127729285,0.4108128884109075,0.306661194276671,6970750.75,1832715.5,710191.75,0.33422508840024545,0.37911026015767313,0.710051518604115,1
C0014,2025,0.346868115562261,0.5393516398586359,0.42787224451185857,7242217.25,2512094.25,1425644.5,0.2891647078926278,0,0.39265925420401554,2
C0015,2023,0.22205689982182883,0.44110842425910746,0.30728713386431766,8264525,1835194.8,1177135.6,0.3178306738881344,0,0.4633731147846049,0
C0015,2024,0.2186009565924136,0.3614954491653402,0.24424150063367867,8369541.6,1829589.8,805536,0.7023941650745976,0.20252211725273064,0.871572558415141,1
C0015,2025,0.18397325492800568,0.3318820376133074,0.2181966197825557,11557718,2126311,1212225.25,0.8235027707611916,0,0.7990426505664139,2
C0016,2023,0.1907187267794888,0.3704707839307495,0.2122720012820782,28276448.51030928,5392848.257731959,1085044.9226804124,0.7176307915522812,0,0.7964579834895542,8
