company_id,year,rev_growth,profit_growth,emp_growth,payroll_growth,profit_growth_type
C0001,2023,,,,,normal
C0001,2024,0.02826296333934253,0.8775933165089103,-0.04761904761904767,-0.18628093680489533,normal
C0001,2025,0.38054029909759146,0.2578198316036633,0.050000000000000044,-0.3254280522324421,normal
C0002,2023,,,,,normal
C0002,2024,0.3883073895433984,0.6071561288534939,0.03125,1.386828464693156,normal
C0002,2025,0.2029486551254378,0.09684176122897425,-0.030303030303030276,-0.12270783630002158,normal
C0003,2023,,,,,normal
C0003,2024,0.14443288131253684,-0.2503212561040662,0.08000000000000007,1.2244431923469072,normal
C0003,2025,-0.18912189686869407,0.20856062325381308,-0.12037037037037035,-0.3097705450122278,normal
C0004,2023,,,,,normal
C0004,2024,0.0051803187193200095,0.21655314101929912,-0.06000000000000005,-0.4824707051689331,normal
C0004,2025,0.0005301567494038206,0.07726087185725472,0.03546099290780136,0.7034188573937414,normal
C0005,2023,,,,,normal
C0005,2024,-0.09468991195313037,-0.06923217308443375,-0.023622047244094446,0.21499900001752814,normal
C0005,2025,-0.012962655088712527,0.0010610382605105162,-0.08870967741935487,0.03267106157046884,normal
C0006,2023,,,,,normal
C0006,2024,0.08150082040001738,0.05631691588336274,0.25,1.5067720852508217,normal
C0006,2025,-0.08952462639228853,0.785765411949481,-0.19999999999999996,-0.41091378706839465,normal
C0007,2023,,,,,normal
C0007,2024,-0.0976784762648425,-0.1388403161148135,-0.16666666666666663,-0.24679650318595514,normal
C0007,2025,0.047405183143405694,-0.12527939261572485,0,-0.14618376817522372,normal
C0008,2023,,,,,normal
C0008,2024,0.18519614053043565,0.09811364059866001,0,-0.10500773706191313,normal
C0008,2025,0.3193309329952343,0.4905846041824622,0,0.9335122205146003,normal
C0009,2023,,,,,normal
C0009,2024,-0.06985692484314243,0.24997696526119473,-0.09160305343511455,-0.6255072263848911,normal
C0009,2025,0.021309904358763676,-0.4242783078950997,-0.04201680672268904,1.1473817978588667,normal
C0010,2023,,,,,normal
C0010,2024,-0.08461972595669043,0.14496668525486855,-0.09333333333333338,0.5856705189038585,normal
C0010,2025,0.051121337142870704,-0.9217936994950521,-0.08823529411764708,0.06422016393495023,normal
C0011,2023,,,,,normal
C0011,2024,-0.13296217870498794,-0.5250850507220923,-0.1649484536082474,-0.15490277571019506,normal
C0011,2025,0.19708877845082085,0.4229266481692595,0.11111111111111116,0.20099758089263875,normal
C0012,2023,,,,,normal
C0012,2024,-0.10460869880980295,-0.3918305372440567,0.03947368421052633,-0.0568753619444462,normal
C0012,2025,0.4201368631001092,0.1034981557383825,-0.014767932489451518,0.432400989958335,normal
C0013,2023,,,,,normal
C0013,2024,0.19666487919353126,1.0501571127066782,0.16666666666666674,0.17412617511465434,normal
C0013,2025,-0.010547224447429837,-0.2940616654736782,0.1428571428571428,0.10630435721941933,normal
C0014,2023,,,,,normal
